CIBERSORT	W070517001156	W070517001157	W070517001159	W070517001160	W070517001161	W070517001162	W070517102034	W070517102035	W070517102036	W070517102037	W070517102038	W070517102051
ABCA13	1.1185718	0.3154527	0.8054034	1.06031356	5.66672440032851	1.07685186143	0.8896809	0.76166540229144	2.5406206256	2.52796998296	0.19481686165175	2.4156638
ABCA17P	0.0052002	0.00685254	0.00667534	0	0.00530027	0.0117908	0.0151128	0	0.00977508	0	0.03978116	0
ABCA2	20.5657819076199	21.5805974	20.381515786404	26.0696619058836	23.18408962	24.1350427228027	25.2175374	19.7459029337395	23.1151617810267	26.1454610019637	20.9542009	22.8586181
ABCA3	2.034552	2.1688623	1.2148964	3.2085919	2.2964237	2.2355997	2.3603534	2.220287154	2.264492	2.9998714	3.3056148	1.4109807
ABCA4	0.1570765	0.1645959	0.0162872	0.22778845	0.0343697	0.7620291	0.3487755	0.1446783	0.3259674	0.2314433	0.1012929	0.0783542
ABCA5	12.799968	8.02423200217594	6.800319	9.609378	8.480003227038	11.99991187	20.652718	13.575472840056	15.628357	15.978337	9.2224439	9.479167
ABCA6	0.6033829	0.77954	0.2710187	0.2855282	0.22909163	0.41081042	0.509275	0.41351245	0.6154432	0.7809125	0.3716653	0.3910285
ABCA7	43.4615631034	46.443282765	22.1449805681	51.30488506	23.0860722	27.9018803157	29.159981604449	27.0383735	28.1332893053244	29.73013765929	36.1995507	45.4197820023658
ABCA8	0.0803916	0.0153644	0	0.334269	0.2633047	0.0315862	0.49367035	0.10504594	0.0138555	0	0.081977	0.0257481
ABCA9	0.426574	0.12732017	0.3072966	0.4151873	0.3077591	0.2256269	0.2724573	0.4936961	0.3940702	0.244031	0.6768797	0.4462632
ABCA9-AS1	0	0.33147	0	0	0	0	0	0	0	0.119043	0	0
ABCB1	8.98401009765	8.201424017232	7.58685824105	4.458656376325	14.53328596163	12.020760849199	12.3561343586	9.43842600716711	14.504984632885	14.94508747498	10.04109	7.648071725699
ABCB10	11.365092	10.514905	8.200527	12.23138	11.34166	12.389745	13.004258	9.546227	12.33654	13.219401	10.222677	10.803832
ABCB10P1	0.0710069	0.104589	0.0571922	0	0	0.0169839	0.0822404	0.214477	0.0410158	0	0	0.013386
ABCB10P3	0.0161702	0.0304737	0.0291108	0	0	0.0172845	0.104264	0	0.0693224	0	0	0.0136254
ABCB10P4	0.0310631	0	0	0	0	0	0	0	0	0	0.0215157	0
ABCB11	0	0.0550926	0.0488545	0.2401858	0.0108976	0.0380773	0.00816357	0.0905596	0.0882146	0.0210283	0.0169355	0.1168942
ABCB4	3.769217602518	4.05287800327723	2.6557657	4.0250191059277	1.87369	3.79058509	6.9708345392	6.906026	5.155808	8.036401011528	6.7796920002755	3.47615684052237
ABCB5	0.26797	0.00741092	0.0290347	0	0.118602	0.0629419	0.1255454	0.114544	0.0888731	0.0286575	0.1214184	0.065247
ABCB6	1.516575	2.8892352	1.2146873	2.80249855	2.1078944	1.46205731	1.656163426	2.6144048	1.6959979	2.4245478	1.6774757	1.5056164
ABCB7	23.726945	19.3985528	15.1493859083711	22.459768	17.252236	25.979523	27.642567	19.647685	27.008032	25.760907	28.082703	27.400374450831
ABCB8	2.77784463	3.68534017	2.73829387	4.2668342	2.439061	3.0142652	3.0764865	2.9378636	3.48763655	3.7518122	3.9752126	3.0404552883
ABCB9	0.17824764227	0.1147378	0.3639251	0.41255810081904	0.2223613	0.3008464	0.2254062	0.3150335	0.1143639	0.393487266	0.3373742	0.1435645
ABCC1	43.091283	39.360224	34.33956	56.18486	22.312621	28.965989	33.063627	33.697967	29.200764	44.75217	49.677543	37.135357
ABCC10	7.2257718	7.0353189	5.9447939	8.4597131	7.7495891	10.662613	7.2697422	6.5159786	6.6861751	10.5370899	11.009788	6.635279
ABCC11	0.0164969	0.04883479	0.29163710830281	0.05019349	0.1755363	0.1787627	0.0940074	0.04244804	0.0702922	0.0588647	0.1059863	0.07467637
ABCC12	0.0246691	0.023986	0	0.0117724965289	0	0.030641032692	0.0776643	0.194440202034102	0.02754709	0	0.01994502	0.04104543
ABCC13	3.8098181	7.7614103	11.55337	7.2973082	10.2303459	7.19668	5.7015164	6.1285255	19.3799873	12.3621429	6.413772	7.4258428
ABCC2	2.9810769	4.80319	3.41308	7.85235	1.462378	2.737385	3.08423	3.537495	2.12111	2.899717	6.941553	4.60773
ABCC3	5.1025697	3.3833288	5.8665757	5.1189826	7.4744805	5.1413159	1.7501581	2.5042696	2.7672921	3.2923072	3.0056197	5.2591673
ABCC4	7.44999	6.306446613	3.192239	6.9784974373	6.6153905	5.80920863	8.720017	5.9763316	13.568669	8.237625	6.5144392	7.0659638
ABCC5	8.2093444	9.0989369	5.5982079	8.955505	4.9287369	5.7415583	9.2268162	12.5413856	8.1486327	5.620856	7.3124064	12.862358
ABCC5-AS1	0.0758634	0.0930234	0	0	0	0	0	0	0	0	0	0
ABCC6	23.2670618	11.1151239	13.5329055	22.7702585	4.0668272	4.8137857	11.3067561	13.753133	6.4622942	12.3219789	12.4713177	5.8188745
ABCC6P1	0.127383	0.506327	0.916375782342	0.248807	1.89264	0.0472567	0.1356034	1.73013	0.313884	0.213029	0.276493	4.840652
ABCC6P2	0	0	0.429803	0	0	0	0.118722	0	1.00002	0	0	0
ABCC8	1.84807076	0.26796765	0	0.3434935	0.0547878	0.5286803	1.38220692	1.19645399	0.32187096	0.0794913	0.36836187	0.8381111
ABCC9	0.045279	0.0119675	0.0191415	0.053306	0.0452745	0.0693901	0.04761643	0.1947642	0.239088	0.292138	0.0335902	0.1891373
ABCD1	7.672633	10.103958	8.40906	5.865268	5.599601	3.634432	2.822315	8.834189	3.919535	3.785702	9.064381	7.70968
ABCD1P2	0.0420406	0	0	0	0	0	0.132911	0	0	0.0570167	0	0
ABCD1P3	0.0278503	0	0	0	0	0	0.056839	0	0	0.0374326	0.0543715	0
ABCD1P4	0.168911	0.147223	0	0	0	0	0.463197	0	0.114162	0.0767817	0	0.0702656
ABCD1P5	0.348115	0	0	0.103157	0	0	0.925005	0.174171	0.0307601	0	0.0228728	0
ABCD2	2.03742	3.5292	1.32835	5.18758	2.19444	5.10801	6.76162	4.04869	6.36481	6.65981	4.41196	2.01281
ABCD3	32.3264748	24.295247	17.0948639	24.887003	19.845392	22.286157	33.4581907	28.728534	30.98382	32.1069565	25.209638	21.62009
ABCD4	9.2316411	17.1444611	10.5817578	17.9106533	10.7727517	12.7336054	12.3051021	10.6369115	10.9176972	14.9106933	13.5469274	12.611894
ABCE1	20.1447693	16.770175	12.225377	19.9027118	15.5144825	25.711788	30.3418745	25.579899	30.6819815	33.831382	21.433916	17.289221
ABCF1	40.89366	38.090464	22.9036635	41.46849	25.281326	34.138412	28.472271	43.114107	26.6097488	37.831153943	49.492475	27.09304
ABCF2	8.9567868	7.500798	5.210404	10.461327	6.189658	9.5485431653	9.455181	7.810619	7.100457	10.618835	11.215131	7.685794
ABCF3	19.4531357018	19.4795597	13.0216657	25.2579381	17.238636500725	19.2041143	16.4346688	20.546722	15.643088	19.6573419	29.2226832	24.5265654
ABCG1	15.865594	18.102214	13.145235	11.3895411	2.181547	7.9723471	10.918138	14.9423092	6.224086	4.360247	15.7345455	19.83579232
ABCG2	1.0255412	0.842738	1.003876	0.529447	1.2835303168	1.27348	1.311886	1.251789	1.609325	2.109832	0.494696	0.635643
ABCG4	0.0136358	0	0	0	0	0	0.01351686297	0	0	0.00924758	0	0
ABCG5	0.1834947	0.0118965	0	0	0.0186045	0.0944861	0.30498	0.1440636	0.0176439	0.047826	0.00888624	0.0985533
ABCG8	0.163862	0.0959095	0.0760747	0.0839272	0.0068059	0.0602538	0.123494	0.0392906	0.0769829	0.0180064	0.039433	0.00810675
ABHD1	2.17319009	1.831223	0.993617	1.56400242	0.949844	1.2767205	1.7247567	1.344431	1.201318	1.5165948	1.39378507	2.08704394
ABHD10	22.05523	11.459337	18.248955	16.908682	17.030629	29.4763349	38.3606225	15.02073	26.857644	26.86727	18.077038	24.111717
ABHD11	3.2803596	3.2941440136148	2.26327436	1.880627919522	1.8893790226245	1.2369478	2.50898905643	2.30861	3.16516510038682	1.4472904	2.2875309	2.9955125
ABHD11-AS1	0	0	0	0	0	0	0	0	0.0358085	0	0	0
ABHD12	27.76621	18.98199	16.024268	25.03678	17.548314	21.77485	25.06935	15.610064	19.808977	23.71467	21.810716	23.55591
ABHD12B	17.536067	15.74894	16.2895511	12.525997	8.1154561	6.1449147	19.1136754	31.154383	15.646306	5.745143	13.9224275	22.0228865
ABHD13	6.20645	3.2008	4.81006	4.14283	2.70101	4.67353	8.00757	6.64118	7.59267	6.01255	3.52642	4.71093
ABHD14A	0.824229	1.331054	0.7422848	0.9568165	1.0357934	1.7557025	1.4655006	1.1529363	0.9189198	1.689268	1.710487	1.1538107
ABHD14A-ACY1	0.310576	0.1905796	0	0	0.0234746	0.2579467	0.2526348	0.466323	0.3200675	0.37569	0.0227349	0.5034998
ABHD14B	1.9645771	2.0232706	0.7845834	2.282674	1.5056227	2.0987663	1.9601732	1.5465666	1.6282797	1.9855717	2.413429	1.85015
ABHD15	0.627208	0.878005	0.814807	1.31149	0.979503	1.0968	0.867942	0.589544	0.829026	0.970479	0.892749	1.16663
ABHD16A	19.3642448	16.1026071	17.008096	16.908594	12.5688127	13.42410713845	12.1315348	21.157602	13.1493732	13.367663	15.869262	19.735542000645
ABHD16B	0.262878	0.538582	0.599221	0.59639	0.317773	0.607906	0.285339	0.243298	0.270234	0.319351	0.572134	0.425709
ABHD17A	14.2464564	19.3650995	19.7964796	20.604115	19.8555326	26.1115321	15.0004355	11.2930383	12.9592471	18.3994705	18.2315357	23.2249698
ABHD17AP1	0.299792	0.837964	0.313235	0.8545	0.684628	0.577395	0.294442	0.237252	0.329326	0.430469	0.615107	0.317805
ABHD17AP3	0.0376901	0.143633	0.016935	0.0591127	0.0569062	0.04092	0	0	0.0167108	0	0.0633685	0.0474786
ABHD17AP4	0.176383	0.0895845	0	0.150022	0.166399	0	0.0731744	0.0245545	0.164069	0	0.252273	0.605344
ABHD17AP5	0.044135	0.604662	0.217442	0.0801526	0	0.987229	0.0631627	0	0	1.61991	0	0
ABHD17AP6	0.0151451	0.06306	0.0803467	0	0.0169328	0.0614333	0.0738755	0	0	0.227085	0.108233	0.186006
ABHD17AP9	0	0	0	0.0389232	0	0	0	0	0	0	0	0
ABHD17B	3.600134	3.867758	1.837238	4.408957	2.148389	2.653638	4.191131	3.931127	4.197691	3.788367	3.815009	3.33612
ABHD17C	0.2845262	0.303058	0.231155	0.359835	0.235237	1.050459	0.502479	0.76832	0.801193	0.6560885	1.240797	0.230032
ABHD2	145.571646	144.5003324	110.1276571	104.2490033	67.039656	59.259133	50.394873	139.7794349	54.382076	50.426608	124.878144	128.5938671
ABHD3	41.819744	24.271884	31.045639	41.105964	16.396	26.26377	28.5581124	38.998816	32.690798	20.736219	33.5306438	30.342185
ABHD4	26.297676	26.4712285	17.148079	22.243364	11.759859	10.328051	9.942714	21.925715	19.2238916	11.581852	20.167848	21.575904
ABHD5	194.9305284	115.777026	104.007564	102.91633	43.4629556	57.230949	85.532602	154.0366531	103.831452	51.395921	98.415015	121.4623735
ABHD6	2.926516	1.314859	1.433679	3.9903564	1.99985	2.8421182	2.3183994	2.02137	2.0708003	1.969161	2.6868744	3.1789985
ABHD8	0.627221	0.7057405	0.412676	0.663922	0.2939869	0.650971	0.4038	0.531718	0.35497	0.37427	0.779912	0.610521
ABI1	81.79733	48.939653	53.946104	66.0680634	40.841131	54.6460178	65.853126	87.941617	65.844996	65.7193727	70.5907954	67.117647
ABI2	3.56037959	5.2547238	3.49031777	9.1366692537076	5.0545214	7.5195612411575	6.881874425913	5.1723763	5.7983294651	7.4060111	7.7137631	4.47216387
ABI3	7.482164	8.33084	8.267391	8.537833	9.4061252	7.974915	5.156428	5.256956	4.565224	6.985807	7.503276	10.696991
ABI3BP	6.0929835	2.9712361	1.507506	4.37827071	3.6756311	1.644354016829	3.5148482	4.4865428	2.5979894	3.9442794	2.4550045	3.0961497
ABL1	2.609111	2.693924	1.576486	2.638885	1.724658	2.06668	1.7307293	1.924444	1.4776319	2.373367	3.191905	1.983459
ABL2	3.89357577426	5.3671451	4.3425689043844	5.10096372	3.6035967	3.60223966	3.7486665047991	3.77604396366601	2.7334873	6.0047311118403	5.6087012871	5.02152230178806
ABLIM1	27.0906462	58.175516	22.324132	78.220292	18.6903456	55.188377	56.330757	51.120083	31.817062	66.775504	71.052218	35.817835
ABLIM2	0.415201	0.4283327	0.2049102	0.6584531	0.3080804	0.6396572	1.4082896	0.3473642	0.416231423	0.4678523107192	0.678622	0.29310783
ABLIM3	3.8852027	3.5321423	4.845942	4.475785	3.0665993	4.2258644	1.018117	4.064186	2.4818482	3.0595828	5.391702	2.8286881
ABO	0.43604472	0.245206	0.48743548	0.34473605	0.51767384	0.39212458	0.4202587	0.2177293	0.17783553	0.169693	0.03700919	0.6411408
ABR	80.7502197	54.894903	58.3230397	75.7176171	55.4558967	40.4314306	40.3489056006027	69.5851428	37.9592735	48.8872034	81.8305789	73.8357106
ABRA	0.0268103	0.023286	0.129614	0.128709	0.154024	0.188541	0.124528	0.17323	0.0464471	0.21424	0.0363947	0.0681447
ABRACL	6.55366	4.52988	2.331686	6.81512	4.30648	6.03973	7.94785	7.20165	9.25175	8.61805	5.34109	7.96758
ABT1	2.87845	2.83202	1.85346	2.29162	2.12508	2.66193	2.26363	1.87046	1.57712	1.68983	1.77436	1.97485
ABT1P1	0	0.0539219	0.0781666	0.0798273	0.0192637	0.0288703	0.0196202	0.0482412	0	0	0.0461763	0.0937062
ABTB1	159.093735	171.112047	145.797612	106.854659	77.287853414921	76.539797	82.4235747	169.456844	82.278374	63.56110323	108.9411	113.785077
ABTB2	0.784443	0.50272	0.470766	0.345219	0.784972	0.503755	0.4329024	0.619847	0.316576	0.304128	0.45813	0.945924
AC000032.2	0.245467	0	0	0	0.948126	0.164638	0	0	0.770865	1.89299	0	2.08507
AC000036.4	0	0	0	0	0	0	0	0.016285	0	0	0	0
AC000041.8	51.7091	46.197	45.8244	68.6636	27.4553	28.9434	39.9779	31.6073	47.3458	50.6904	47.9034	47.1009
AC000068.10	0.270686	1.03192	0.51889	0.695244	0.350427	0.514623	0.776523	1.04261	0.8308	0.873735	0.30035	0.744046
AC000068.5	0.0102271	0	0	0	0	0	0	0.0123227	0.0132339	0.0275662	0.0103294	0
AC000077.2	0	0	0	0	0	0	0.0312429	0	0	0	0	0
AC000078.5	0	0	0	0	0	0.039728	0	0	0	0	0	0
AC000089.3	0.169044	0.375838	0.486125	0.593643	0.119509	0.789762	0.62054	0.376005	0.0744138	0.611654	0.739795	0.669944
AC000095.11	0	0.0939606	0	0	0	0	0	0	0	0	0	0
AC000095.9	0.337437	0.0320883	0.287682	0.332952	0.111815	0.0243702	0.0708316	0.371379	0.197737	0.118162	0.0553384	0.123361
AC000099.1	0	0	0	0	0	0	0	0	0	0	0.0197504	0
AC000120.7	0.0280787	0	0	0	0.0852046	0.0418811	0.0268411	0	0	0	0	0.0340078
AC000123.2	0.0272398	0.0240326	0.117455	0.0650155	0.110634	0.137445	0.0611478	0.0110118	0.0682028	0.0724045	0.119222	0.158968
AC000123.4	0	0	0	0	0	0	0	0	0	0.115988	0	0
AC000367.1	0.1027	0.0561315	0.113934	0.14386	0.156148	0.0648314	0.122394	0.0755205	0.0537764	0.0563817	0.234199	0.0457302
AC000403.4	0.00855909	0	0	0	0	0.0129343	0	0.0207641	0	0	0.00858038	0
AC002044.1	0	0	0	0	0	0	0	0.0349939	0	0	0	0.0358462
AC002044.3	0	0	0	0.0972838	0	0	0	0	0	0	0	0
AC002056.3	0.0506181	0	0.0661963	0	0	0.0769781	0.0479908	0.538067	0.0627107	0.202359	0	0.128863
AC002056.5	0	0	0	0	0	0	0	0	0	0.158112	0	0
AC002066.1	0	0	0	0	0	0.0935494	0	0	0	0.0840875	0	0
AC002075.4	0	0	0	0	0.357025	0	0	0	0	0	0	0
AC002076.10	0.0766812	0	0	0	0	0	0.153913	0	0	0	0	0
AC002116.7	1.26403	0.972517	0.366786	2.0043	1.06643	1.19441	1.22693	1.7941	1.34826	2.21417	2.06278	1.16897
AC002116.8	0	0	0	0	0	0.0708841	0	0	0	0	0	0
AC002117.1	0	0	0	0	0.268937	0	0	0	0	0	0	0
AC002128.5	0	0	0	0	0.0494279	0	0.0531266	0	0	0.207762	0.0505786	0
AC002306.1	0	0.0332319	0	0	0	0.0383936	0	0.030325	0	0	0	0
AC002310.10	0.086296	0.282891	0.229615	0.616486	0.0889963	0.84362	0.0429627	0.0522246	0.280113	0.231432	0.391285	0.602768
AC002310.11	1.54959	0.0765315	0.721931	1.31894	1.13925	0.0103799	0.760446	0.801057	0.924319	0.877466	1.28087	1.0932
AC002310.12	0	0	0	0.0198113	0.0170756	0.0254613	0	0.0409163	0	0.0454619	0.0168331	0
AC002310.13	0	0	0.507865	0	1.20749	0.00230256	0	0	0	0.325197	0	0.0194282
AC002310.14	0	0	0	0	0	0.0328031	0	0	0	0	0	0
AC002310.17	0	0.23748	0	0	0	0	0.216569	0.244415	0	0	0	0
AC002310.7	0.500177	1.05228	0.78786	1.15446	0.367091	0.628802	1.05089	0.682384	1.25191	0.755698	0.844923	0.608504
AC002366.1	0	1.82426	0	0	0	0	0.422418	0	0	0.483285	0.367985	0
AC002366.3	0.0476363	0	0	0	0.0239303	0	0	0	0	0	0	0.0593023
AC002395.1	0	0	0	1.1514	0	0	0	0	1.2564	0	0.974078	1.49648
AC002398.11	0.222871	0.325825	0.3068252	0.241356	0.155254	0.103367	0.198612	0.26858	0.335894	0.0458009	0.171019	0.103292
AC002398.12	0.0182591	0.0400996	0.0618089	0.105095	0.0773219	0	0	0	0	0	0	0.027659
AC002398.9	1.86058	0.900582	0.542883	2.79218	1.42482	2.66075	0.750858	2.0432	0.527241	0	0	1.06237
AC002400.1	0.228558	0.0718927	0.0708273	0.395635	0.164012	0.164461	0.673554	0.209806	0.14367	0.369204	0.397183	0.484643
AC002401.1	0	0	0	0.0460778	0.194798	0	0.129752	0.156089	0	0	0.0414597	0.0500719
AC002429.5	0.0314706	0	0	0	0.0102723	0.0308379	0	0.0130656	0.0132115	0	0	0
AC002451.3	0	0	0.0343807	0.0309333	0.0263087	0.079409	0	0.0344871	0	0	0	0.0325054
AC002454.1	0.0860473	0	0	0	0	0	0	0	0	0	0	0
AC002456.2	0.0815401	0	0	0	0	0.135168	0	0	0	0	0	0
AC002467.7	0	0	0	0.0428436	0	0.0760371	0	0	0	0.067291	0	0.0631325
AC002472.11	0.0526317	0	0	0	0	0.0713308	0	0.0634827	0	0	0	0
AC002486.2	0	0	0	0	0	0	0	0	0	0.106325	0	0
AC002511.2	0.0707218	0	0.0888794	0	0	0.407327	0	0.257122	0	0	0.208017	0.251332
AC002511.3	0	0.0264578	0	0.0234106	0.0406068	0	0	0.0247227	0	0	0.0203932	0
AC002519.6	0	0	0	0	0	0	0	0.10119	0	0	0	0
AC002519.8	0	0	0	0	0.0272988	0.0400981	0.0126941	0	0	0	0.0134875	0.0166077
AC002543.2	0	0.02407	0.0242263	0	0.0186042	0	0	0.0222913	0.0314894	0.121794	0.0561074	0
AC002550.5	0.0272824	0	0	0	0	0	0	0	0	0	0	0
AC002550.6	0	0	0	0	0	0.137348	0	0.110922	0	0	0	0
AC002551.1	0.0794108	0	0	0	0	0	0	0	0	0	0	0
AC002981.1	0	0	0	0	0	0	0	0	0	0	0	2.28763
AC002985.3	0.0617563	0.29162	0.116169	0.0335327	0.0346084	0.3484161	0.344982	0.0714765	0.236416	0.171055	0.288416	0.209132
AC003001.1	0	0	0	0	1.18459	0	0	0	0	0	0	0
AC003002.6	0	1.75361	0.6819488	1.07391	1.7293739	1.64553	0	0.532397	0.062478	0	0.398791	2.44342
AC003003.5	0.0156945	0.0312712	0.0778472	0.0139572	0.0247872	0.0180786	0.023197	0.0308415	0.0219846	0	0.0359039	0
AC003005.2	0	0	0	0.0568363	0	0	0	0.162404	0	0	0	0
AC003006.1	0	0	0	0	0	0.202753	0	0	0	0	0	0
AC003006.7	0.933745	1.13304	2.76932	1.91223	0	0	0	0	0.267877	2.35248	0.582722	1.73766
AC003075.4	0.162185	0.357782	0.112405	0.101481	0.375502	0.537376	0.399951	0.096676	0	0.117786	0.168037	0.733682
AC003080.4	0.0657529	0	0	0	0.12982	0	0.0321953	0.0812728	0	0	0.0329298	0.161357
AC003088.1	0	0	0.0963459	0	0	0.113546	0	0	0	0	0	0
AC003092.1	0.134719	0	0	0	0	0.19604	0.130012	0	0	0	0.0681044	0.168248
AC003101.1	0.0579962	0	0	0.125921	0.11283	0	0.0579197	0.208817	0.0747301	0	0.109354	0.0672761
AC003104.1	0	0	0.084651	0.038451	0	0	0.0948702	0.193648	0	0.0422439	0.0325249	0.201811
